match_date,year,home_team,away_team,home_score,away_score,result,winner,goal_difference,total_goals,tournament,decided_by_penalties,penalty_winner,city,country,neutral
1872-11-30,1872,Scotland,England,0,0,draw,draw,0,0,Friendly,False,,Glasgow,Scotland,False
1873-03-08,1873,England,Scotland,4,2,home_win,England,2,6,Friendly,False,,London,England,False
1874-03-07,1874,Scotland,England,2,1,home_win,Scotland,1,3,Friendly,False,,Glasgow,Scotland,False
1875-03-06,1875,England,Scotland,2,2,draw,draw,0,4,Friendly,False,,London,England,False
1876-03-04,1876,Scotland,England,3,0,home_win,Scotland,3,3,Friendly,False,,Glasgow,Scotland,False
1876-03-25,1876,Scotland,Wales,4,0,home_win,Scotland,4,4,Friendly,False,,Glasgow,Scotland,False
1877-03-03,1877,England,Scotland,1,3,away_win,Scotland,-2,4,Friendly,False,,London,England,False
1877-03-05,1877,Wales,Scotland,0,2,away_win,Scotland,-2,2,Friendly,False,,Wrexham,Wales,False
1878-03-02,1878,Scotland,England,7,2,home_win,Scotland,5,9,Friendly,False,,Glasgow,Scotland,False
1878-03-23,1878,Scotland,Wales,9,0,home_win,Scotland,9,9,Friendly,False,,Glasgow,Scotland,False
1879-01-18,1879,England,Wales,2,1,home_win,England,1,3,Friendly,False,,London,England,False
1879-04-05,1879,England,Scotland,5,4,home_win,England,1,9,Friendly,False,,London,England,False
1879-04-07,1879,Wales,Scotland,0,3,away_win,Scotland,-3,3,Friendly,False,,Wrexham,Wales,False
1880-03-13,1880,Scotland,England,5,4,home_win,Scotland,1,9,Friendly,False,,Glasgow,Scotland,False
1880-03-15,1880,Wales,England,2,3,away_win,England,-1,5,Friendly,False,,Wrexham,Wales,False
1880-03-27,1880,Scotland,Wales,5,1,home_win,Scotland,4,6,Friendly,False,,Glasgow,Scotland,False
1881-02-26,1881,England,Wales,0,1,away_win,Wales,-1,1,Friendly,False,,Blackburn,England,False
1881-03-12,1881,England,Scotland,1,6,away_win,Scotland,-5,7,Friendly,False,,London,England,False
1881-03-14,1881,Wales,Scotland,1,5,away_win,Scotland,-4,6,Friendly,False,,Wrexham,Wales,False
1882-02-18,1882,Northern Ireland,England,0,13,away_win,England,-13,13,Friendly,False,,Belfast,Ireland,False
1882-02-25,1882,Wales,Northern Ireland,7,1,home_win,Wales,6,8,Friendly,False,,Wrexham,Wales,False
1882-03-11,1882,Scotland,England,5,1,home_win,Scotland,4,6,Friendly,False,,Glasgow,Scotland,False
1882-03-13,1882,Wales,England,5,3,home_win,Wales,2,8,Friendly,False,,Wrexham,Wales,False
1882-03-25,1882,Scotland,Wales,5,0,home_win,Scotland,5,5,Friendly,False,,Glasgow,Scotland,False
1883-02-03,1883,England,Wales,5,0,home_win,England,5,5,Friendly,False,,London,England,False
1883-02-24,1883,England,Northern Ireland,7,0,home_win,England,7,7,Friendly,False,,Liverpool,England,False
1883-03-10,1883,England,Scotland,2,3,away_win,Scotland,-1,5,Friendly,False,,Sheffield,England,False
1883-03-12,1883,Wales,Scotland,0,3,away_win,Scotland,-3,3,Friendly,False,,Wrexham,Wales,False
1883-03-17,1883,Northern Ireland,Wales,1,1,draw,draw,0,2,Friendly,False,,Belfast,Ireland,False
1884-01-26,1884,Northern Ireland,Scotland,0,5,away_win,Scotland,-5,5,British Home Championship,False,,Belfast,Ireland,False
1884-02-09,1884,Wales,Northern Ireland,6,0,home_win,Wales,6,6,British Home Championship,False,,Wrexham,Wales,False
1884-02-23,1884,Northern Ireland,England,1,8,away_win,England,-7,9,British Home Championship,False,,Belfast,Ireland,False
1884-03-15,1884,Scotland,England,1,0,home_win,Scotland,1,1,British Home Championship,False,,Glasgow,Scotland,False
1884-03-17,1884,Wales,England,0,4,away_win,England,-4,4,British Home Championship,False,,Wrexham,Wales,False
1884-03-29,1884,Scotland,Wales,4,1,home_win,Scotland,3,5,British Home Championship,False,,Glasgow,Scotland,False
1885-02-28,1885,England,Northern Ireland,4,0,home_win,England,4,4,British Home Championship,False,,Manchester,England,False
1885-03-14,1885,England,Wales,1,1,draw,draw,0,2,British Home Championship,False,,Blackburn,England,False
1885-03-14,1885,Scotland,Northern Ireland,8,2,home_win,Scotland,6,10,British Home Championship,False,,Glasgow,Scotland,False
1885-03-21,1885,England,Scotland,1,1,draw,draw,0,2,British Home Championship,False,,London,England,False
1885-03-23,1885,Wales,Scotland,1,8,away_win,Scotland,-7,9,British Home Championship,False,,Wrexham,Wales,False
1885-04-11,1885,Northern Ireland,Wales,2,8,away_win,Wales,-6,10,British Home Championship,False,,Belfast,Ireland,False
1885-11-28,1885,United States,Canada,0,1,away_win,Canada,-1,1,Friendly,False,,Newark,United States,False
