team,matches,corners_for_avg,corners_against_avg,sot_for_avg,sot_against_avg
Spain,10,8.1,3.7,8.0,2.5
Argentina,10,7.6,3.3,7.5,2.9
France,10,7.9,3.0,7.8,2.9
England,10,7.8,3.5,7.1,3.1
Brazil,10,8.1,3.4,7.5,3.0
Colombia,10,7.3,3.1,7.3,2.7
Portugal,10,7.2,3.2,7.3,2.5
Ecuador,10,6.3,4.1,6.6,3.4
Germany,10,7.6,3.5,7.7,2.7
Netherlands,10,7.8,3.8,7.3,2.6
Japan,10,7.3,3.9,7.1,2.8
Morocco,10,6.7,3.7,6.0,3.4
Norway,10,7.6,3.4,7.5,3.3
Croatia,10,7.4,3.9,7.1,2.8
Turkey,10,7.4,4.0,6.3,3.3
Mexico,10,6.7,4.3,6.2,3.5
Uruguay,10,7.1,3.7,6.8,3.3
Switzerland,10,7.5,3.6,7.3,3.3
Belgium,10,7.5,3.8,7.6,3.5
Senegal,10,6.4,4.2,6.6,3.4
Paraguay,10,6.2,4.6,5.6,3.8
Australia,10,7.1,3.6,6.2,3.1
Canada,10,6.7,4.6,6.8,3.0
Iran,10,6.7,4.2,6.9,3.6
Austria,10,6.8,4.0,6.6,3.3
South Korea,10,6.5,4.2,6.4,3.5
Algeria,10,6.9,3.5,6.4,3.7
Scotland,10,6.7,3.6,6.8,3.6
United States,10,7.4,4.1,6.2,3.1
Panama,10,6.6,5.1,5.5,3.6
Uzbekistan,10,6.3,4.2,5.6,3.8
Ivory Coast,10,6.5,4.6,6.0,3.9
Czech Republic,10,6.7,4.1,5.7,3.0
Egypt,10,6.6,4.1,6.0,3.9
Sweden,10,7.5,4.1,7.0,3.2
Jordan,10,6.1,4.1,5.7,3.4
DR Congo,10,5.9,4.5,5.6,3.9
Iraq,10,5.3,4.6,5.4,4.4
Tunisia,10,6.4,4.2,5.6,4.4
New Zealand,10,5.9,5.3,5.8,3.9
Haiti,10,6.2,4.6,5.7,4.1
Saudi Arabia,10,5.9,4.7,4.9,4.0
South Africa,10,5.8,4.5,5.4,4.1
Bosnia and Herzegovina,10,6.4,4.5,5.7,3.9
Cape Verde,10,5.7,4.6,5.2,4.2
Ghana,10,6.2,4.6,5.3,4.1
Curaçao,10,5.2,4.6,4.8,4.2
Qatar,10,6.2,4.3,5.3,3.6
