match_date,year,home_team,away_team,home_score,away_score,result,winner,goal_difference,total_goals,decided_by_penalties,penalty_winner,city,host_country,neutral
1930-07-13,1930,Belgium,United States,0,3,away_win,United States,-3,3,False,,Montevideo,Uruguay,True
1930-07-13,1930,France,Mexico,4,1,home_win,France,3,5,False,,Montevideo,Uruguay,True
1930-07-14,1930,Brazil,Yugoslavia,1,2,away_win,Yugoslavia,-1,3,False,,Montevideo,Uruguay,True
1930-07-14,1930,Peru,Romania,1,3,away_win,Romania,-2,4,False,,Montevideo,Uruguay,True
1930-07-15,1930,Argentina,France,1,0,home_win,Argentina,1,1,False,,Montevideo,Uruguay,True
1930-07-16,1930,Chile,Mexico,3,0,home_win,Chile,3,3,False,,Montevideo,Uruguay,True
1930-07-17,1930,Bolivia,Yugoslavia,0,4,away_win,Yugoslavia,-4,4,False,,Montevideo,Uruguay,True
1930-07-17,1930,Paraguay,United States,0,3,away_win,United States,-3,3,False,,Montevideo,Uruguay,True
1930-07-18,1930,Uruguay,Peru,1,0,home_win,Uruguay,1,1,False,,Montevideo,Uruguay,False
1930-07-19,1930,Argentina,Mexico,6,3,home_win,Argentina,3,9,False,,Montevideo,Uruguay,True
1930-07-19,1930,Chile,France,1,0,home_win,Chile,1,1,False,,Montevideo,Uruguay,True
1930-07-20,1930,Belgium,Paraguay,0,1,away_win,Paraguay,-1,1,False,,Montevideo,Uruguay,True
1930-07-20,1930,Bolivia,Brazil,0,4,away_win,Brazil,-4,4,False,,Montevideo,Uruguay,True
1930-07-21,1930,Uruguay,Romania,4,0,home_win,Uruguay,4,4,False,,Montevideo,Uruguay,False
1930-07-22,1930,Argentina,Chile,3,1,home_win,Argentina,2,4,False,,Montevideo,Uruguay,True
1930-07-26,1930,Argentina,United States,6,1,home_win,Argentina,5,7,False,,Montevideo,Uruguay,True
1930-07-27,1930,Uruguay,Yugoslavia,6,1,home_win,Uruguay,5,7,False,,Montevideo,Uruguay,False
