fecha,local,visitante,sede,neutral,xg_local,xg_visitante,marcador_exacto,prob_marcador_exacto,top3_marcadores,prob_local,prob_empate,prob_visitante,resultado_1x2,prob_over_2_5,prob_ambos_marcan,elo_local,elo_visitante
2026-06-11,Mexico,South Africa,Mexico City,False,1.7,0.67,1-0,0.154,1-0 (15.4%); 2-0 (13.6%); 1-1 (11.2%),0.618,0.245,0.137,Local,0.421,0.402,1962.0,1663.0
2026-06-11,South Korea,Czech Republic,Zapopan,True,1.22,1.18,1-1,0.137,1-1 (13.7%); 1-0 (10.4%); 0-1 (10.0%),0.366,0.289,0.345,Local,0.431,0.495,1876.0,1804.0
2026-06-12,Canada,Bosnia and Herzegovina,Toronto,False,1.77,0.79,1-0,0.132,1-0 (13.2%); 2-0 (12.1%); 1-1 (11.3%),0.602,0.24,0.158,Local,0.471,0.458,1893.0,1661.0
2026-06-12,United States,Paraguay,Inglewood,False,1.17,1.04,1-1,0.14,1-1 (14.0%); 1-0 (12.1%); 0-0 (11.6%),0.38,0.303,0.317,Local,0.381,0.453,1843.0,1903.0
2026-06-13,Qatar,Switzerland,Santa Clara,True,0.71,2.63,0-2,0.122,0-2 (12.2%); 0-3 (10.8%); 0-1 (9.0%),0.074,0.146,0.781,Visitante,0.649,0.475,1577.0,1950.0
2026-06-13,Brazil,Morocco,East Rutherford,True,1.05,0.73,0-0,0.175,0-0 (17.5%); 1-0 (17.0%); 1-1 (13.6%),0.417,0.337,0.246,Local,0.265,0.344,2052.0,1987.0
2026-06-13,Haiti,Scotland,Foxborough,True,0.8,2.15,0-2,0.12,0-2 (12.0%); 0-1 (10.8%); 1-2 (9.7%),0.123,0.198,0.678,Visitante,0.567,0.493,1694.0,1849.0
2026-06-13,Australia,Turkey,Vancouver,True,1.21,1.2,1-1,0.137,1-1 (13.7%); 1-0 (10.2%); 0-1 (10.2%),0.357,0.289,0.354,Local,0.432,0.496,1895.0,1964.0
2026-06-14,Sweden,Tunisia,Guadalupe,True,1.22,0.98,1-1,0.139,1-1 (13.9%); 1-0 (12.9%); 0-0 (11.8%),0.408,0.302,0.29,Local,0.376,0.446,1774.0,1735.0
2026-06-14,Netherlands,Japan,Arlington,True,1.35,1.11,1-1,0.134,1-1 (13.4%); 1-0 (10.9%); 0-0 (9.2%),0.418,0.283,0.299,Local,0.446,0.503,2003.0,1991.0
2026-06-14,Germany,Curaçao,Houston,True,3.63,0.49,3-0,0.13,3-0 (13.0%); 4-0 (11.7%); 2-0 (10.7%),0.916,0.064,0.02,Local,0.778,0.379,2006.0,1602.0
2026-06-14,Ivory Coast,Ecuador,Philadelphia,True,0.58,0.98,0-0,0.216,0-0 (21.6%); 0-1 (19.9%); 1-1 (12.6%),0.208,0.36,0.432,Visitante,0.206,0.281,1817.0,2011.0
2026-06-15,Belgium,Egypt,Seattle,True,1.46,0.7,1-0,0.162,1-0 (16.2%); 1-1 (12.4%); 2-0 (12.3%),0.547,0.279,0.174,Local,0.366,0.393,1939.0,1803.0
2026-06-15,Iran,New Zealand,Inglewood,True,1.48,0.61,1-0,0.178,1-0 (17.8%); 2-0 (13.6%); 0-0 (12.9%),0.58,0.274,0.146,Local,0.348,0.358,1890.0,1717.0
2026-06-15,Spain,Cape Verde,Atlanta,True,2.85,0.42,2-0,0.155,2-0 (15.5%); 3-0 (14.7%); 1-0 (10.6%),0.866,0.104,0.031,Local,0.634,0.324,2208.0,1657.0
2026-06-15,Saudi Arabia,Uruguay,Miami Gardens,True,0.45,1.48,0-1,0.211,0-1 (21.1%); 0-2 (15.9%); 0-0 (15.0%),0.105,0.269,0.626,Visitante,0.303,0.283,1690.0,1959.0
2026-06-16,Austria,Jordan,Santa Clara,True,1.79,0.79,1-0,0.13,1-0 (13.0%); 2-0 (12.2%); 1-1 (11.2%),0.607,0.238,0.155,Local,0.477,0.46,1883.0,1767.0
2026-06-16,Argentina,Algeria,Kansas City,True,1.78,0.58,1-0,0.164,1-0 (16.4%); 2-0 (15.0%); 1-1 (10.2%),0.66,0.23,0.11,Local,0.419,0.37,2173.0,1860.0
2026-06-16,France,Senegal,East Rutherford,True,1.43,0.79,1-0,0.15,1-0 (15.0%); 1-1 (12.9%); 0-0 (11.5%),0.517,0.283,0.2,Local,0.381,0.42,2113.0,1906.0
2026-06-16,Iraq,Norway,Foxborough,True,0.65,1.8,0-1,0.151,0-1 (15.1%); 0-2 (14.0%); 1-1 (10.6%),0.123,0.23,0.647,Visitante,0.443,0.402,1745.0,1976.0
2026-06-17,Portugal,DR Congo,Houston,True,1.7,0.54,1-0,0.177,1-0 (17.7%); 2-0 (15.4%); 0-0 (11.2%),0.653,0.239,0.108,Local,0.386,0.344,2038.0,1764.0
2026-06-17,Uzbekistan,Colombia,Mexico City,True,0.56,1.6,0-1,0.179,0-1 (17.9%); 0-2 (14.7%); 0-0 (12.0%),0.123,0.255,0.622,Visitante,0.368,0.349,1824.0,2048.0
2026-06-17,England,Croatia,Arlington,True,1.34,0.77,1-0,0.156,1-0 (15.6%); 1-1 (13.1%); 0-0 (12.7%),0.496,0.295,0.209,Local,0.354,0.404,2080.0,1965.0
2026-06-17,Ghana,Panama,Toronto,True,1.2,1.09,1-1,0.139,1-1 (13.9%); 1-0 (11.5%); 0-0 (10.8%),0.379,0.297,0.324,Local,0.401,0.47,1633.0,1833.0
2026-06-18,Czech Republic,South Africa,Atlanta,True,1.37,0.87,1-0,0.14,1-0 (14.0%); 1-1 (13.3%); 0-0 (11.3%),0.48,0.289,0.231,Local,0.386,0.438,1804.0,1663.0
2026-06-18,Mexico,South Korea,Zapopan,False,1.46,0.94,1-1,0.13,1-1 (13.0%); 1-0 (12.6%); 2-0 (9.7%),0.487,0.277,0.236,Local,0.432,0.475,1962.0,1876.0
2026-06-18,Switzerland,Bosnia and Herzegovina,Inglewood,True,1.97,0.7,2-0,0.134,2-0 (13.4%); 1-0 (13.2%); 1-1 (10.0%),0.668,0.213,0.119,Local,0.499,0.438,1950.0,1661.0
2026-06-18,Canada,Qatar,Vancouver,False,2.37,0.8,2-0,0.118,2-0 (11.8%); 1-0 (9.6%); 2-1 (9.4%),0.719,0.176,0.105,Local,0.613,0.503,1893.0,1577.0
