grupo,equipo,pts_esperados,prob_1ro,prob_2do,prob_3ro,prob_4to,prob_top2,prob_clasif_mejor_3ro,prob_clasifica
A,Mexico,5.62,0.5,0.268,0.155,0.076,0.769,0.127,0.895
A,South Korea,4.11,0.219,0.292,0.28,0.209,0.511,0.203,0.714
A,Czech Republic,4.01,0.207,0.281,0.289,0.223,0.488,0.209,0.697
A,South Africa,2.61,0.073,0.159,0.276,0.492,0.232,0.179,0.411
B,Switzerland,6.27,0.545,0.322,0.105,0.028,0.867,0.089,0.955
B,Canada,5.53,0.367,0.412,0.167,0.054,0.779,0.131,0.911
B,Bosnia and Herzegovina,2.91,0.062,0.175,0.431,0.332,0.237,0.262,0.499
B,Qatar,1.97,0.026,0.091,0.297,0.586,0.117,0.162,0.279
C,United States,4.26,0.286,0.257,0.232,0.225,0.542,0.177,0.719
C,Turkey,4.08,0.263,0.248,0.239,0.251,0.51,0.178,0.688
C,Australia,4.03,0.241,0.253,0.258,0.248,0.494,0.192,0.686
C,Paraguay,3.83,0.21,0.243,0.271,0.275,0.454,0.199,0.653
D,Brazil,6.62,0.622,0.279,0.091,0.008,0.901,0.084,0.985
D,Morocco,5.43,0.288,0.454,0.226,0.032,0.743,0.181,0.924
D,Scotland,3.67,0.086,0.242,0.538,0.134,0.328,0.381,0.709
D,Haiti,1.0,0.004,0.025,0.145,0.827,0.029,0.064,0.093
E,Netherlands,5.57,0.485,0.283,0.153,0.079,0.768,0.124,0.892
E,Japan,4.77,0.308,0.33,0.227,0.135,0.638,0.172,0.81
E,Sweden,3.29,0.129,0.219,0.317,0.335,0.348,0.212,0.559
E,Tunisia,2.74,0.078,0.168,0.303,0.451,0.246,0.196,0.442
F,Germany,6.29,0.562,0.291,0.136,0.011,0.853,0.124,0.977
F,Ecuador,5.37,0.308,0.409,0.25,0.033,0.716,0.201,0.917
F,Ivory Coast,4.05,0.127,0.279,0.498,0.096,0.405,0.365,0.77
F,Curaçao,0.92,0.004,0.022,0.116,0.859,0.025,0.051,0.076
G,Belgium,6.19,0.606,0.246,0.113,0.035,0.852,0.094,0.946
G,Iran,4.38,0.219,0.352,0.288,0.141,0.571,0.204,0.775
G,Egypt,3.82,0.145,0.299,0.355,0.201,0.444,0.237,0.681
G,New Zealand,1.95,0.03,0.103,0.245,0.622,0.133,0.136,0.269
H,Spain,7.13,0.73,0.23,0.034,0.005,0.96,0.03,0.99
H,Uruguay,5.32,0.241,0.562,0.154,0.043,0.804,0.106,0.91
H,Saudi Arabia,2.28,0.018,0.12,0.447,0.416,0.138,0.213,0.35
H,Cape Verde,1.91,0.011,0.088,0.365,0.536,0.099,0.16,0.258
I,Argentina,6.91,0.723,0.2,0.064,0.013,0.923,0.056,0.979
I,Austria,4.2,0.15,0.386,0.322,0.142,0.536,0.226,0.762
I,Algeria,3.77,0.109,0.324,0.376,0.19,0.434,0.256,0.69
I,Jordan,1.74,0.018,0.09,0.237,0.655,0.108,0.124,0.231
J,France,6.01,0.542,0.278,0.141,0.039,0.82,0.117,0.938
J,Norway,4.64,0.258,0.344,0.283,0.114,0.602,0.211,0.813
J,Senegal,4.07,0.177,0.299,0.357,0.167,0.476,0.249,0.725
J,Iraq,1.74,0.023,0.079,0.218,0.68,0.102,0.12,0.222
K,Portugal,5.83,0.49,0.338,0.123,0.048,0.828,0.096,0.925
K,Colombia,5.54,0.414,0.378,0.149,0.059,0.792,0.113,0.905
K,Uzbekistan,2.5,0.05,0.143,0.363,0.444,0.193,0.2,0.393
K,DR Congo,2.48,0.046,0.14,0.364,0.449,0.187,0.201,0.388
L,England,6.79,0.66,0.269,0.059,0.012,0.929,0.051,0.979
L,Croatia,5.32,0.287,0.492,0.166,0.055,0.779,0.124,0.903
L,Ghana,2.42,0.031,0.134,0.416,0.419,0.164,0.229,0.393
L,Panama,2.11,0.022,0.106,0.359,0.514,0.127,0.186,0.314
