equipo,grupo,elo,ataque_dc,defensa_dc,rank_elo
Spain,H,2208.0,1.427,-1.361,1
Argentina,I,2173.0,1.251,-1.617,2
France,J,2113.0,1.239,-1.259,3
England,L,2080.0,1.181,-1.443,4
Brazil,D,2052.0,1.322,-1.329,5
Colombia,K,2048.0,1.192,-1.213,6
Portugal,K,2038.0,1.287,-1.204,7
Ecuador,F,2011.0,0.773,-1.351,8
Germany,F,2006.0,1.317,-1.008,9
Netherlands,E,2003.0,1.242,-1.062,10
Japan,E,1991.0,0.997,-1.104,11
Morocco,D,1987.0,0.854,-1.44,12
Norway,J,1976.0,1.119,-0.937,13
Croatia,L,1965.0,1.019,-1.053,14
Turkey,C,1964.0,0.994,-0.75,15
Mexico,A,1962.0,0.782,-1.0,16
Uruguay,H,1959.0,0.898,-1.306,17
Switzerland,B,1950.0,1.077,-0.989,18
Belgium,G,1939.0,1.191,-1.087,19
Senegal,J,1906.0,0.852,-1.048,20
Paraguay,C,1903.0,0.648,-1.031,21
Australia,C,1895.0,0.772,-0.976,22
Canada,B,1893.0,0.728,-0.87,23
Iran,G,1890.0,0.813,-0.91,24
Austria,I,1883.0,0.91,-0.977,25
South Korea,A,1876.0,0.773,-0.809,26
Algeria,I,1860.0,0.906,-0.842,27
Scotland,D,1849.0,0.798,-0.812,28
United States,C,1843.0,0.779,-0.77,29
Panama,L,1833.0,0.524,-0.468,30
Uzbekistan,K,1824.0,0.475,-0.887,31
Ivory Coast,F,1817.0,0.645,-0.963,32
Czech Republic,A,1804.0,0.809,-0.737,33
Egypt,G,1803.0,0.567,-0.98,34
Sweden,E,1774.0,0.948,-0.719,35
Jordan,I,1767.0,0.573,-0.492,36
DR Congo,K,1764.0,0.417,-0.925,37
Iraq,J,1745.0,0.334,-0.696,38
Tunisia,E,1735.0,0.533,-0.919,39
New Zealand,G,1717.0,0.247,-0.584,40
Haiti,D,1694.0,0.43,-0.199,41
Saudi Arabia,H,1690.0,0.334,-0.672,42
South Africa,A,1663.0,0.427,-0.661,43
Bosnia and Herzegovina,B,1661.0,0.468,-0.566,44
Cape Verde,H,1657.0,0.324,-0.546,45
Ghana,L,1633.0,0.484,-0.604,46
Curaçao,F,1602.0,0.132,-0.195,47
Qatar,B,1577.0,0.481,-0.274,48
